,activity_id,additional_allowed_model_components,description,end_year,experiment,experiment_id,min_number_yrs_per_sim,parent_activity_id,parent_experiment_id,required_model_components,start_year,sub_experiment_id,tier
11,['GeoMIP'],"['AER', 'CHEM']",Time slice at 2100 (G6sulfur),,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G6sulfur,G6SST2-sulfur,10,['GeoMIP'],['G6sulfur'],['AGCM'],,['none'],2
12,['GeoMIP'],"['AER', 'CHEM', 'BGC']","Using solar irradiance reduction, return the radiative forcing from a background of the ScenarioMIP high forcing to the ScenarioMIP middle forcing",2100,total solar irradiance reduction to reduce net forcing from SSP585 to SSP245,G6solar,81,['ScenarioMIP'],['ssp585'],['AOGCM'],2020,['none'],1
13,['GeoMIP'],"['AER', 'CHEM', 'BGC']","Using equatorial SO2 injection, return the radiative forcing from a background of the ScenarioMIP high forcing to the ScenarioMIP middle forcing",2100,stratospheric sulfate aerosol injection to reduce net forcing from SSP585 to SSP245,G6sulfur,81,['ScenarioMIP'],['ssp585'],['AOGCM'],2020,['none'],1
14,['GeoMIP'],"['AER', 'CHEM']",Time slice at 2020 (ScenarioMIP Tier 1 high forcing scenario and cirrus thinning according to G7cirrus),,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2020 of SSP5-8.5 and cirrus thinning,G7SST1-cirrus,10,['ScenarioMIP'],['ssp585'],['AGCM'],,['none'],2
15,['GeoMIP'],"['AER', 'CHEM']",Time slice at 2100 (ScenarioMIP Tier 1 high forcing scenario and cirrus thinning according to G7cirrus),,SSTs from year 2100 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G7cirrus,G7SST2-cirrus,10,['GeoMIP'],['G7cirrus'],['AGCM'],,['none'],2
16,['GeoMIP'],"['AER', 'CHEM', 'BGC']","Against a background of the ScenarioMIP high forcing, reduce cirrus cloud optical depth by a constant amount",2100,increase cirrus ice crystal fall speed to reduce net forcing in SSP585 by 1 W m-2,G7cirrus,81,['ScenarioMIP'],['ssp585'],['AOGCM'],2020,['none'],2
17,['CFMIP'],"['AER', 'CHEM']","As piSST, but with monthly-varying SSTs taken from years 111-140 of each model's own abrupt-4xCO2 experiment instead of from piControl. Sea-ice is unchanged from piSST",,as piSST but with SSTs from abrupt-4xCO2,a4SST,30,['no parent'],['no parent'],['AGCM'],,['none'],2
18,['CFMIP'],"['AER', 'CHEM']","As piSST, but with monthly-varying SSTs and sea-ice taken from years 111-140 of each model's own abrupt-4xCO2 experiment instead of from piControl",,as piSST but with SSTs and sea ice from abrupt-4xCO2,a4SSTice,30,['no parent'],['no parent'],['AGCM'],,['none'],2
19,['CFMIP'],"['AER', 'CHEM']","As a4SSTice, but CO2 is quadrupled, and the increase in CO2 is seen by both the radiation scheme and vegetation",,"as piSST but with SSTs and sea ice from abrupt-4xCO2, and 4xCO2 seen by radiation and vegetation",a4SSTice-4xCO2,30,['no parent'],['no parent'],['AGCM'],,['none'],2
20,['CFMIP'],"['AER', 'CHEM', 'BGC']","Identical to the DECK abrupt-4xCO2, but at 0.5xCO2",,abrupt halving of CO2,abrupt-0p5xCO2,150,['CMIP'],['piControl'],['AOGCM'],,['none'],2
21,['CFMIP'],"['AER', 'CHEM', 'BGC']","Identical to the DECK abrupt-4xCO2, but at 2xCO2",,abrupt doubling of CO2,abrupt-2xCO2,150,['CMIP'],['piControl'],['AOGCM'],,['none'],2
22,['CMIP'],"['AER', 'CHEM', 'BGC']",DECK: abrupt-4xCO2,,abrupt quadrupling of CO2,abrupt-4xCO2,150,['CMIP'],['piControl'],['AOGCM'],,['none'],1
23,['CFMIP'],"['AER', 'CHEM', 'BGC']","Conceptually similar to abrupt 4xCO2 DECK experiment, except that the solar constant rather than CO2 is abruptly reduced by 4%",,abrupt 4% decrease in solar constant,abrupt-solm4p,150,['CMIP'],['piControl'],['AOGCM'],,['none'],2
24,['CFMIP'],"['AER', 'CHEM', 'BGC']","Conceptually similar to abrupt 4xCO2 DECK experiment, except that the solar constant rather than CO2 is abruptly increased by 4%",,abrupt 4% increase in solar constant,abrupt-solp4p,150,['CMIP'],['piControl'],['AOGCM'],,['none'],2
25,['CMIP'],"['AER', 'CHEM', 'BGC']",DECK: AMIP,2014,AMIP,amip,36,['no parent'],['no parent'],['AGCM'],1979,['none'],1
26,['CFMIP'],"['AER', 'CHEM']",As CMIP5/CFMIP-2 amip4xCO2 experiment. AMIP experiment where SSTs are held at control values and the CO2 seen by the radiation scheme is quadrupled,2014,AMIP SSTs with 4xCO2,amip-4xCO2,36,['no parent'],['no parent'],['AGCM'],1979,['none'],1
27,['GMMIP'],"['AER', 'CHEM', 'BGC']",The topography of the TIP is modified by setting surface elevations to 500m; to understand the combined thermal and mechanical forcing of the TIP. Same model as DECK,2014,"same as ""amip"" run, but surface elevations of the Tibetan-Iranian Plateau and Himalayas reduced to 500m",amip-TIP,36,['no parent'],['no parent'],['AGCM'],1979,['none'],3
28,['GMMIP'],"['AER', 'CHEM', 'BGC']",Surface sensible heat released at the elevation above 500m over the TIP is not allowed to heat the atmosphere. Same model as DECK,2014,"same as ""amip"" run, but sensible heat not allowed for elevations of the Tibetan-Iranian Plateau and Himalayas above 500m",amip-TIP-nosh,36,['no parent'],['no parent'],['AGCM'],1979,['none'],3
29,['CFMIP'],"['AER', 'CHEM']","Same as amip, but a patterned SST anomaly is applied on top of the monthly-varying amip SSTs. This anomaly is a monthly climatology, taken from each model's own abrupt-4xCO2 run minus piControl (using the mean of years 111-140 of abrupt-4xCO2, and the parallel 30-year section of piControl). CO2 is quadrupled, and the increase in CO2 is seen by both the radiation scheme and vegetation",2014,as AMIP but with warming pattern from abrupt-4xCO2 added to SSTs and 4xCO2 seen by radiation and vegetation,amip-a4SST-4xCO2,36,['no parent'],['no parent'],['AGCM'],1979,['none'],2
30,['PAMIP'],"['AER', 'CHEM', 'BGC']",PA5.2: investigate role of transient SST in recent climate change,2014,AMIP with climatological SIC,amip-climSIC,36,['CMIP'],['amip'],['AGCM'],1979,['none'],3
31,['PAMIP'],"['AER', 'CHEM', 'BGC']",PA5.1: investigate role of transient sea ice in recent climate change,2014,AMIP with climatological SST,amip-climSST,36,['CMIP'],['amip'],['AGCM'],1979,['none'],3
32,['CFMIP'],"['AER', 'CHEM']","As CMIP5/CFMIP-2 amipFuture experiment. AMIP experiment where SSTs are subject to a composite SST warming pattern derived from coupled models, scaled to an ice-free ocean mean of 4K",2014,AMIP with patterned 4K SST increase,amip-future4K,36,['no parent'],['no parent'],['AGCM'],1979,['none'],1
33,['GMMIP'],"['AER', 'CHEM', 'BGC']",Extended AMIP run that covers 1870-2014. All natural and anthropogenic historical forcings as used in CMIP6 Historical Simulation will be included. AGCM resolution as CMIP6 Historical Simulation. The HadISST data will be used,2014,AMIP-style simulation covering the period 1870-2014,amip-hist,145,['no parent'],['no parent'],['AGCM'],1870,['none'],1
34,['GMMIP'],"['AER', 'CHEM', 'BGC']","The topography of the highlands in Africa, N. America and S. America TP is modified by setting surface elevations to a certain height (500m). Same model as DECK",2014,"same as ""amip"" run, but surface elevations of the East African Highlands in Africa, Sierra Madre in N. America and Andes in S. America reduced to 500m",amip-hld,36,['no parent'],['no parent'],['AGCM'],1979,['none'],3
35,['LS3MIP'],"['AER', 'CHEM', 'BGC']",Land-hist land conditions; AMIP SSTs,2014,prescribed land (from pseudo-observations) and AMIP SSTs,amip-lfmip-pObs,36,['no parent'],['no parent'],['AGCM'],1979,['none'],2
36,['LS3MIP'],"['AER', 'CHEM', 'BGC']",Scenario forced experiment with prescribed land surface climatology derived from modern conditions from the first historical ensemble member (1980-2014). SST and sea-ice from the first ensemble members of the historical and ssp585 experiments,2014,"prescribed modern land surface climatology from historical, prescribed SST and sea-ice from historical plus scenario runs",amip-lfmip-pdLC,36,['no parent'],['no parent'],['AGCM'],1979,['none'],2
37,['LS3MIP'],"['AER', 'CHEM', 'BGC']",Scenario forced experiment with prescribed land surface climatology derived from 30yr running mean from the first ensemble members of the historical and ssp585 experiments. SST and sea-ice from the first ensemble members of the historical and ssp585 experiments,2014,"prescribed land surface climatology from historical plus scenario 30yr running mean, prescribed SST and sea-ice from historical plus scenario runs",amip-lfmip-rmLC,36,['no parent'],['no parent'],['AGCM'],1979,['none'],2
38,['CFMIP'],"['AER', 'CHEM']","As amip experiment, but with cloud-radiative effects switched off in the LW radiation code",2014,AMIP experiment with longwave cloud-radiative effects off,amip-lwoff,36,['no parent'],['no parent'],['AGCM'],1979,['none'],2
39,['CFMIP'],"['AER', 'CHEM']",As amip experiment but SSTs are subject to a uniform cooling of 4K,2014,AMIP with uniform 4K SST decrease,amip-m4K,36,['no parent'],['no parent'],['AGCM'],1979,['none'],2
40,['CFMIP'],"['AER', 'CHEM']",As CMIP5/CFMIP-2 amip4K experiment. AMIP experiment where SSTs are subject to a uniform warming of 4K,2014,AMIP with uniform 4K SST increase,amip-p4K,36,['no parent'],['no parent'],['AGCM'],1979,['none'],1
41,['CFMIP'],"['AER', 'CHEM']","As amip-p4K experiment, but with cloud-radiative effects switched off in the LW radiation code",2014,AMIP experiment with uniform 4K SST increase and with longwave cloud radiative effects off,amip-p4K-lwoff,36,['no parent'],['no parent'],['AGCM'],1979,['none'],2
42,['CFMIP'],"['AER', 'CHEM']",Identical to standard AMIP experiment but from 1870-present with constant pre-industrial forcing levels (anthropogenic and natural),2014,AMIP SSTs with pre-industrial anthropogenic and natural forcing,amip-piForcing,145,['no parent'],['no parent'],['AGCM'],1870,['none'],2
43,['CFMIP'],"['AER', 'CHEM']",Extended version of CMIP5/CFMIP-2 aqua4xCO2 experiment. Aquaplanet experiment where SSTs are held at control values and the CO2 seen by the radiation scheme is quadrupled,,aquaplanet with control SST and 4xCO2,aqua-4xCO2,10,['no parent'],['no parent'],['AGCM'],,['none'],1
44,['CFMIP'],"['AER', 'CHEM']",Extended version of CMIP5/CFMIP-2 aquaControl experiment. Aquaplanet (no land) experiment with no seasonal cycle forced with specified zonally symmetric SSTs,,aquaplanet control,aqua-control,10,['no parent'],['no parent'],['AGCM'],,['none'],1
45,['CFMIP'],"['AER', 'CHEM']","As aqua-control experiment, but with cloud-radiative effects switched off in the LW radiation code",,aquaplanet control with longwave cloud radiative effects off,aqua-control-lwoff,10,['no parent'],['no parent'],['AGCM'],,['none'],2
46,['CFMIP'],"['AER', 'CHEM']",Extended version of CMIP5/CFMIP-2 aqua4K experiment. Aquaplanet experiment where SSTs are subject to a uniform warming of 4K,,aquaplanet with uniform 4K SST increase,aqua-p4K,10,['no parent'],['no parent'],['AGCM'],,['none'],1
47,['CFMIP'],"['AER', 'CHEM']","As aqua-p4K experiment, but with cloud-radiative effects switched off in the LW radiation code",,aquaplanet with uniform 4K SST increase and with longwave cloud radiative effects off,aqua-p4K-lwoff,10,['no parent'],['no parent'],['AGCM'],,['none'],2
48,['HighResMIP'],['AER'],"Coupled integrations with constant 1950""s forcing",,coupled control with fixed 1950's forcing (HighResMIP equivalent of pre-industrial control),control-1950,100,['HighResMIP'],['spinup-1950'],['AOGCM'],,['none'],2
49,['VolMIP'],"['AER', 'CHEM', 'BGC']",slab control run for volc-pinatubo-slab,,control with slab ocean,control-slab,30,['no parent'],['no parent'],"['AGCM', 'SLAB']",,['none'],3
50,['DCPP'],"['AER', 'CHEM', 'BGC']",A2.3 Assimilation runs used to generate initial conditions for hindcasts,2016,"Assimilation run paralleling the historical simulation, which may be used to generate hindcast initial conditions",dcppA-assim,56,['no parent'],['no parent'],['AOGCM'],before 1961,['none'],2
51,['DCPP'],"['AER', 'CHEM', 'BGC']","A1 (and A2.1, A3.1, and A3.2) Decadal hindcasts begun near the end of each year from 1960 to 2019, or every other year at minimum. First full hindcast year follows start year (e.g., for s1960, first full hindcast year is 1961)",5 - 10 years after start year,hindcast initialized based on observations and using historical forcing,dcppA-hindcast,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],a year in the range 1960-2019,"['s1960', 's1961', 's1962', 's1963', 's1964', 's1965', 's1966', 's1967', 's1968', 's1969', 's1970', 's1971', 's1972', 's1973', 's1974', 's1975', 's1976', 's1977', 's1978', 's1979', 's1980', 's1981', 's1982', 's1983', 's1984', 's1985', 's1986', 's1987', 's1988', 's1989', 's1990', 's1991', 's1992', 's1993', 's1994', 's1995', 's1996', 's1997', 's1998', 's1999', 's2000', 's2001', 's2002', 's2003', 's2004', 's2005', 's2006', 's2007', 's2008', 's2009', 's2010', 's2011', 's2012', 's2013', 's2014', 's2015', 's2016', 's2017', 's2018', 's2019']",1
52,['DCPP'],"['AER', 'CHEM', 'BGC']","A4.1 Decadal hindcasts begun near the end of each year from 1960 to 2019, or every other year at minimum, but with no information from the future. First full hindcast year follows start year (e.g., for s1960, first full hindcast year is 1961)",5 - 10 years after start year,hindcast initialized based on observations but without using knowledge of subsequent historical forcing,dcppA-hindcast-niff,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],a year in the range 1960-2019,"['s1960', 's1961', 's1962', 's1963', 's1964', 's1965', 's1966', 's1967', 's1968', 's1969', 's1970', 's1971', 's1972', 's1973', 's1974', 's1975', 's1976', 's1977', 's1978', 's1979', 's1980', 's1981', 's1982', 's1983', 's1984', 's1985', 's1986', 's1987', 's1988', 's1989', 's1990', 's1991', 's1992', 's1993', 's1994', 's1995', 's1996', 's1997', 's1998', 's1999', 's2000', 's2001', 's2002', 's2003', 's2004', 's2005', 's2006', 's2007', 's2008', 's2009', 's2010', 's2011', 's2012', 's2013', 's2014', 's2015', 's2016', 's2017', 's2018', 's2019']",4
53,['DCPP'],"['AER', 'CHEM', 'BGC']","A4.2 Hindcasts initialized from historical climate simulations as in DCPP-A2.2, but with no information from the future. First full hindcast year follows start year (e.g., for s1960, first full hindcast year is 1961)",5 - 10 years after start year,hindcast initialized from historical climate simulation but without using knowledge of subsequent historical forcing,dcppA-historical-niff,5,['CMIP'],['historical'],['AOGCM'],a year in the range 1960-2019,"['s1960', 's1961', 's1962', 's1963', 's1964', 's1965', 's1966', 's1967', 's1968', 's1969', 's1970', 's1971', 's1972', 's1973', 's1974', 's1975', 's1976', 's1977', 's1978', 's1979', 's1980', 's1981', 's1982', 's1983', 's1984', 's1985', 's1986', 's1987', 's1988', 's1989', 's1990', 's1991', 's1992', 's1993', 's1994', 's1995', 's1996', 's1997', 's1998', 's1999', 's2000', 's2001', 's2002', 's2003', 's2004', 's2005', 's2006', 's2007', 's2008', 's2009', 's2010', 's2011', 's2012', 's2013', 's2014', 's2015', 's2016', 's2017', 's2018', 's2019']",4
54,['DCPP'],"['AER', 'CHEM', 'BGC']","B1 (and B2.1, B2.2) Ongoing decadal forecasts. First full forecast year follows start year (e.g., for s2017, first full forecast year is 2018)",5 years after start year,forecast initialized from observations with forcing from ssp245,dcppB-forecast,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],a year in the range 2017-2029,"['s2017', 's2018', 's2019', 's2020', 's2021', 's2022', 's2023', 's2024', 's2025', 's2026', 's2027', 's2028', 's2029']",1
55,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.7 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,Idealized climate impact of negative extratropical AMV anomaly pattern,dcppC-amv-ExTrop-neg,10,['CMIP'],['piControl'],['AOGCM'],,['none'],2
56,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.7Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,Idealized climate impact of positive extratropical AMV anomaly pattern,dcppC-amv-ExTrop-pos,10,['CMIP'],['piControl'],['AOGCM'],,['none'],2
57,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.8 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,Idealized climate impact of negative tropical AMV anomaly pattern,dcppC-amv-Trop-neg,10,['CMIP'],['piControl'],['AOGCM'],,['none'],2
58,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.8 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,idealized positive tropical AMV anomaly pattern,dcppC-amv-Trop-pos,10,['CMIP'],['piControl'],['AOGCM'],,['none'],2
59,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.3 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,Idealized climate impact of negative AMV anomaly pattern,dcppC-amv-neg,10,['CMIP'],['piControl'],['AOGCM'],,['none'],1
60,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.2 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,Idealized climate impact of positive AMV anomaly pattern,dcppC-amv-pos,10,['CMIP'],['piControl'],['AOGCM'],,['none'],1
61,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.1 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,Idealized Atlantic control,dcppC-atl-control,10,['CMIP'],['piControl'],['AOGCM'],,['none'],1
62,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.11 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,2014,pacemaker Atlantic experiment,dcppC-atl-pacemaker,65,['CMIP'],['historical'],['AOGCM'],"1910, 1920 or 1950","['s1910', 's1920', 's1950']",3
63,['DCPP'],"['AER', 'CHEM', 'BGC']","C2.1 (and C2.2) Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs. First full hindcast year follows start year (e.g., for s1992, first full hindcast year is 1993)",5 - 10 years after start year,predictability of 1990s warming of Atlantic sub-polar gyre,dcppC-atl-spg,5,['no parent'],['no parent'],['AOGCM'],A year in the range 1992-1999,"['s1992', 's1993', 's1994', 's1995', 's1996', 's1997', 's1998', 's1999']",3
64,['DCPP'],"['AER', 'CHEM', 'BGC']",C3.4 Effects of volcanoes on decadal prediction and predictability of forced and internal variability components. First full hindcast year is 2015,5 - 10 years after start year,2015 forecast with added Agung forcing,dcppC-forecast-addAgung,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],2014,['s2014'],3
65,['DCPP'],"['AER', 'CHEM', 'BGC']",C3.5 Effects of volcanoes on decadal prediction and predictability of forced and internal variability components. First full hindcast year is 2015,5 - 10 years after start year,2015 forecast with added El Chichon forcing,dcppC-forecast-addElChichon,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],2014,['s2014'],3
66,"['DCPP', 'VolMIP']","['AER', 'CHEM', 'BGC']",C3.6 Effects of volcanoes on decadal prediction and predictability of forced and internal variability components. First full hindcast year is 2015,5 - 10 years after start year,2015 forecast with added Pinatubo forcing,dcppC-forecast-addPinatubo,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],2014,['s2014'],1
67,['DCPP'],"['AER', 'CHEM', 'BGC']",C3.3 Effects of volcanoes on decadal prediction and predictability of forced and internal variability components. First full hindcast year is 1962,5 - 10 years after start year,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,dcppC-hindcast-noAgung,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],1962,['s1962'],2
68,['DCPP'],"['AER', 'CHEM', 'BGC']",C3.2 Effects of volcanoes on decadal prediction and predictability of forced and internal variability components. First full hindcast year is 1982,5 - 10 years after start year,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,dcppC-hindcast-noElChichon,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],1981,['s1981'],2
69,['DCPP'],"['AER', 'CHEM', 'BGC']",C3.1 Effects of volcanoes on decadal prediction and predictability of forced and internal variability components. First full hindcast year is 1991,5 - 10 years after start year,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,dcppC-hindcast-noPinatubo,5,"['no parent', 'DCPP']","['no parent', 'dcppA-assim']",['AOGCM'],1990,['s1990'],1
70,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.9 and predictability of the hiatus and of similar long timescale variations of both signs,,idealized negative northern extratropical IPV anomaly pattern,dcppC-ipv-NexTrop-neg,10,['CMIP'],['piControl'],['AOGCM'],,['none'],2
71,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.9 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,idealized positive northern extratropical IPV anomaly pattern,dcppC-ipv-NexTrop-pos,10,['CMIP'],['piControl'],['AOGCM'],,['none'],2
72,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.6 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,idealized negative IPV anomaly pattern,dcppC-ipv-neg,10,['CMIP'],['piControl'],['AOGCM'],,['none'],1
73,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.5 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,idealized positive IPV anomaly pattern,dcppC-ipv-pos,10,['CMIP'],['piControl'],['AOGCM'],,['none'],1
74,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.4 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs,,idealized Pacific control,dcppC-pac-control,10,['CMIP'],['piControl'],['AOGCM'],,['none'],1
75,['DCPP'],"['AER', 'CHEM', 'BGC']",C1.10 Mechanisms and predictability of the hiatus and of similar long timescale variations of both signs. First full hindcast year is 2015,2014,pacemaker Pacific experiment,dcppC-pac-pacemaker,65,['CMIP'],['historical'],['AOGCM'],"1910, 1920 or 1950","['s1910', 's1920', 's1950']",3
76,['LUMIP'],"['AER', 'CHEM', 'BGC']","Idealized deforestation experiment, 20 million km2 forest removed linearly over a period of 50 years, with an additional 30 years with no specified change in forest cover; all other forcings held constant",,idealized transient global deforestation,deforest-globe,81,['CMIP'],['piControl'],['AOGCM'],,['none'],1
77,"['C4MIP', 'CDRMIP']","['AER', 'CHEM']","A zero-emissions simulation (fully interactive CO2; emissions-driven configuration), initiated from the point in the 1pctCO2 experiment when the cumulative carbon emissions reach 1000 PgC",,zero emissions simulation branched from 1% run after 1000 PgC cumulative emission,esm-1pct-brch-1000PgC,100,"['CMIP', 'C4MIP']","['1pctCO2', 'esm-1pctCO2']","['AOGCM', 'BGC']",,['none'],2
78,"['C4MIP', 'CDRMIP']","['AER', 'CHEM']","A zero-emissions simulation (fully interactive CO2; emissions-driven configuration), initiated from the point in the 1pctCO2 experiment when the cumulative carbon emissions reach 2000 PgC",,zero emissions simulation branched from 1% run after 2000 PgC cumulative emission,esm-1pct-brch-2000PgC,100,"['CMIP', 'C4MIP']","['1pctCO2', 'esm-1pctCO2']","['AOGCM', 'BGC']",,['none'],3
79,"['C4MIP', 'CDRMIP']","['AER', 'CHEM']","A zero-emissions simulation (fully interactive CO2; emissions-driven configuration), initiated from the point in the 1pctCO2 experiment when the cumulative carbon emissions reach 750 PgC",,zero emissions simulation branched from 1% run after 750 PgC cumulative emission,esm-1pct-brch-750PgC,100,"['CMIP', 'C4MIP']","['1pctCO2', 'esm-1pctCO2']","['AOGCM', 'BGC']",,['none'],3
80,"['C4MIP', 'CDRMIP']","['AER', 'CHEM']","An emissions-driven simulation (fully interactive CO2), initiated from the esm-piControl using CO2 emissions diagnosed from the 1pctCO2 experiment so that the emissions-driven run replicates as closely as possible the 1pctCO2 concentration profile",,emissions driven 1% run,esm-1pctCO2,150,['CMIP'],['esm-piControl'],"['AOGCM', 'BGC']",,['none'],3
81,"['C4MIP', 'CDRMIP']","['AER', 'CHEM']","An emissions-driven simulation (fully interactive CO2), initiated from esm-piControl using CO2 emissions, amounting to 1000 PgC, following a bell-shape curve for 100 years followed by zero-emissions for 100 years",,emissions driven 1000PgC bell-curve,esm-bell-1000PgC,200,['CMIP'],['esm-piControl'],"['AOGCM', 'BGC']",,['none'],3
82,"['C4MIP', 'CDRMIP']","['AER', 'CHEM']","An emissions-driven simulation (fully interactive CO2), initiated from esm-piControl using CO2 emissions, amounting to 2000 PgC, following a bell-shape curve for 100 years followed by zero-emissions for 100 years",,emissions driven 2000PgC bell-curve,esm-bell-2000PgC,200,['CMIP'],['esm-piControl'],"['AOGCM', 'BGC']",,['none'],3
83,"['C4MIP', 'CDRMIP']","['AER', 'CHEM']","An emissions-driven simulation (fully interactive CO2), initiated from esm-piControl using CO2 emissions, amounting to 750 PgC, following a bell-shape curve for 100 years followed by zero-emissions for 100 years",,emissions driven 750PgC bell-curve,esm-bell-750PgC,200,['CMIP'],['esm-piControl'],"['AOGCM', 'BGC']",,['none'],3
