,activity_participation,cohort,institution_id,label,label_extended,release_year,source_id,license_info.exceptions_contact,license_info.history,license_info.id,license_info.license,license_info.source_specific_info,license_info.url,model_component.aerosol.description,model_component.aerosol.native_nominal_resolution,model_component.atmos.description,model_component.atmos.native_nominal_resolution,model_component.atmosChem.description,model_component.atmosChem.native_nominal_resolution,model_component.land.description,model_component.land.native_nominal_resolution,model_component.landIce.description,model_component.landIce.native_nominal_resolution,model_component.ocean.description,model_component.ocean.native_nominal_resolution,model_component.ocnBgchem.description,model_component.ocnBgchem.native_nominal_resolution,model_component.seaIce.description,model_component.seaIce.native_nominal_resolution,model_component.seaIce.native_ominal_resolution
16,['HighResMIP'],['Registered'],['PNNL-WACCEM'],CAM-MPAS-LR,CAM MPAS (Community Atmosphere Model - Model for Prediction Across Scales),2018,CAM-MPAS-LR,,,,,,,"none, prescribed MACv2-SP",100 km,"CAM-MPAS (CAMv5.4 with Grell-Freitas deep convection; MPASv4, C-grid staggered centroidal Voronoi tesselation atmosphere 120 km mesh with 40962 cells and 122880 edges; 32 vertical levels, model top 40363 m)",100 km,none,none,"CLM (v4.0, same grid as atmos), River Transport Model (v1.0)",100 km,none,none,none,none,none,none,none,none,
17,"['CFMIP', 'CMIP', 'GMMIP', 'HighResMIP', 'ScenarioMIP']",['Published'],['CAMS'],CAMS-CSM 1.0,CAMS-CSM 1.0,2016,CAMS-CSM1-0,@cma.gov.cn <- rongxy,2019-07-08: initially published under CC BY-SA 4.0; 2022-09-29 relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,ECHAM5_CAMS (T106; 320 x 160 longitude/latitude; 31 levels; top level 10 mb),100 km,none,none,CoLM 1.0,100 km,none,none,"MOM4 (tripolar; 360 x 200 longitude/latitude, primarily 1deg latitude/longitude, down to 1/3deg within 30deg of the equatorial tropics; 50 levels; top grid cell 0-10 m)",100 km,none,none,SIS 1.0,100 km,
18,"['AerChemMIP', 'C4MIP', 'CDRMIP', 'CFMIP', 'CMIP', 'CORDEX', 'DAMIP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'GeoMIP', 'HighResMIP', 'LS3MIP', 'LUMIP', 'OMIP', 'PMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['CAS'],CAS-ESM 2.0,CAS-ESM 2.0 (Chinese Academy of Sciences Earth System Model version 2.0),2019,CAS-ESM2-0,@mail.iap.ac.cn <- zhanghe,2020-03-01: initially published under CC BY-SA 4.0; 2022-10-04: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,IAP AACM,100 km,IAP AGCM 5.0 (Finite difference dynamical core; 256 x 128 longitude/latitude; 35 levels; top level 2.2 hPa),100 km,IAP AACM,100 km,CoLM,100 km,none,none,"LICOM2.0 (LICOM2.0, primarily 1deg; 362 x 196 longitude/latitude; 30 levels; top grid cell 0-10 m)",100 km,IAP OBGCM,100 km,CICE4,100 km,
19,"['CMIP', 'DCPP']",['Published'],['NCAR'],CESM1-1-CAM5-CMIP5,CESM1-1-CAM5-CMIP5,2011,CESM1-1-CAM5-CMIP5,@ucar.edu <- cesm_cmip6,2019-10-07: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM3 (same grid as atmos),100 km,CAM5.2 (0.9x1.25 finite volume grid; 288 x 192 longitude/latitude; 32 levels; top level 2.25 mb),100 km,MAM3 (same grid as atmos),100 km,CLM4 (same grid as atmos),100 km,none,none,POP2 (320x384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,BEC (same grid as ocean),100 km,CICE4 (same grid as ocean),100 km,
20,['HighResMIP'],['Published'],['NCAR'],CESM1-CAM5-SE-HR,"CESM 1.3 CAM5 spectral element configuration with CMIP5 forcings, hi res",2012,CESM1-CAM5-SE-HR,@ucar.edu <- cesm_cmip6,2020-07-24: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM3 (same grid as atmos),25 km,CAM5.2 (0.25 degree spectral element; 777602 cells; 30 levels; top level 2.25 mb),25 km,MAM3 (same grid as atmos),25 km,CLM4 (same grid as atmos),25 km,none,none,POP2 (3600x2400 longitude/latitude; 62 levels; top grid cell 0-10 m),10 km,"""BEC (same grid as ocean)",10 km,CICE4 (same grid as ocean),10 km,
21,['HighResMIP'],['Published'],['NCAR'],CESM1-CAM5-SE-LR,"CESM 1.3 CAM5 spectral element configuration with CMIP5 forcings, lo res",2012,CESM1-CAM5-SE-LR,@ucar.edu <- cesm_cmip6,2020-07-08: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM3 (same grid as atmos),100 km,CAM5.2 (1 degree spectral element; 48602 cells; 30 levels; top level 2.25 mb),100 km,MAM3 (same grid as atmos),100 km,CLM4 (same grid as atmos),100 km,none,none,POP2 (320x384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,"""BEC (same grid as ocean)",100 km,CICE4 (same grid as ocean),100 km,
22,['PAMIP'],['Published'],"['UCI', 'NCAR']",CESM1-WACCM-SC,"Community Earth System Model 1, with the Whole Atmosphere Community Climate Model and Specified Chemistry",2011,CESM1-WACCM-SC,@ucar.edu <- cesm_cmip6,2020-10-12: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MOZART-specified (same grid as atmos),250 km,WACCM4 (1.9x2.5 finite volume grid; 144 x 96 longitude/latitude; 66 levels; top level 5.9e-06 mb),250 km,MOZART-specified (same grid as atmos),250 km,CLM4.0,250 km,none,none,POP2 (320 x 384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,BEC (same grid as ocean),100 km,CICE4 (same as grid as ocean),100 km,
23,"['AerChemMIP', 'C4MIP', 'CDRMIP', 'CFMIP', 'CMIP', 'CORDEX', 'DAMIP', 'DCPP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'GeoMIP', 'HighResMIP', 'ISMIP6', 'LS3MIP', 'LUMIP', 'OMIP', 'PAMIP', 'PMIP', 'RFMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['NCAR'],CESM2,CESM2,2018,CESM2,@ucar.edu <- cesm_cmip6,2019-02-18: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM4 (same grid as atmos),100 km,CAM6 (0.9x1.25 finite volume grid; 288 x 192 longitude/latitude; 32 levels; top level 2.25 mb),100 km,MAM4 (same grid as atmos),100 km,CLM5 (same grid as atmos),100 km,CISM2.1,5 km,POP2 (320x384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,MARBL (same grid as ocean),100 km,CICE5.1 (same grid as ocean),100 km,
24,"['CMIP', 'PMIP', 'ScenarioMIP']",['Published'],['NCAR'],CESM2-FV2,CESM2-FV2,2019,CESM2-FV2,@ucar.edu <- cesm_cmip6,2019-11-20: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM4 (same grid as atmos),250 km,CAM6 (1.9x2.5 finite volume grid; 144 x 96 longitude/latitude; 32 levels; top level 2.25 mb),250 km,MAM4 (same grid as atmos),250 km,CLM5 (same grid as atmos),250 km,CISM2.1,5 km,POP2 (320x384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,MARBL (same grid as ocean),100 km,CICE5.1 (same grid as ocean),100 km,
25,"['AerChemMIP', 'CMIP', 'GeoMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['NCAR'],CESM2-WACCM,CESM2-WACCM,2018,CESM2-WACCM,@ucar.edu <- cesm_cmip6,2019-02-20: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM4 (same grid as atmos),100 km,WACCM6 (0.9x1.25 finite volume grid; 288 x 192 longitude/latitude; 70 levels; top level 4.5e-06 mb),100 km,MAM4 (same grid as atmos),100 km,CLM5 (same grid as atmos),100 km,CISM2.1,5 km,POP2 (320 x 384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,MARBL (same grid as ocean),100 km,CICE5.1 (same grid as ocean),100 km,
26,"['CMIP', 'PMIP']",['Published'],['NCAR'],CESM2-WACCM-FV2,CESM2-WACCM-FV2,2019,CESM2-WACCM-FV2,@ucar.edu <- cesm_cmip6,2019-11-20: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM4 (same grid as atmos),250 km,WACCM6 (1.9x2.5 finite volume grid; 144 x 96 longitude/latitude; 70 levels; top level 4.5e-06 mb),250 km,MAM4 (same grid as atmos),250 km,CLM5 (same grid as atmos),250 km,CISM2.1,5 km,POP2 (320x384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,MARBL (same grid as ocean),100 km,CICE5.1 (same grid as ocean),100 km,
27,"['CFMIP', 'CMIP', 'CORDEX', 'GMMIP', 'HighResMIP', 'OMIP', 'SIMIP', 'ScenarioMIP']",['Published'],['THU'],CIESM,Community Integrated Earth System Model,2017,CIESM,@tsinghua.edu.cn <- yanluan,2019-12-02: initially published under CC BY-SA 4.0; 2022-07-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM4,100 km,CIESM-AM (FV/FD; 288 x 192 longitude/latitude; 30 levels; top level 2.255 hPa),100 km,trop_mam4,100 km,CIESM-LM (modified CLM4.5),100 km,none,none,"CIESM-OM (FD, SCCGrid Displaced Pole; 720 x 560 longitude/latitude; 46 levels; top grid cell 0-6 m)",50 km,none,none,CICE4,50 km,
28,"['CMIP', 'HighResMIP', 'OMIP']",['Published'],['CMCC'],CMCC-CM2-HR4,CMCC-CM2-HR4,2016,CMCC-CM2-HR4,@cmcc.it <- silvio.gualdi,2017-07-06: initially published under CC BY-SA 4.0; 2022-06-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,prescribed MACv2-SP,100 km,CAM4 (1deg; 288 x 192 longitude/latitude; 26 levels; top at ~2 hPa),100 km,none,none,CLM4.5 (SP mode),100 km,none,none,NEMO3.6 (ORCA0.25 1/4 deg from the Equator degrading at the poles; 1442 x 1051 longitude/latitude; 50 vertical levels; top grid cell 0-1 m),25 km,none,none,CICE4.0,25 km,
29,"['CMIP', 'DCPP', 'GMMIP', 'OMIP', 'ScenarioMIP']",['Published'],['CMCC'],CMCC-CM2-SR5,CMCC-CM2-SR5,2016,CMCC-CM2-SR5,@cmcc.it <- silvio.gualdi,2020-02-26: initially published under CC BY-SA 4.0; 2022-06-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM3,100 km,CAM5.3 (1deg; 288 x 192 longitude/latitude; 30 levels; top at ~2 hPa),100 km,none,none,CLM4.5 (BGC mode),100 km,none,none,NEMO3.6 (ORCA1 tripolar primarly 1 deg lat/lon with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 50 vertical levels; top grid cell 0-1 m),100 km,none,none,CICE4.0,100 km,
30,"['CMIP', 'HighResMIP']",['Published'],['CMCC'],CMCC-CM2-VHR4,CMCC-CM2-VHR4,2017,CMCC-CM2-VHR4,@cmcc.it <- enrico.scoccimarro,2017-09-27: initially published under CC BY-SA 4.0; 2022-06-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,prescribed MACv2-SP,25 km,CAM4 (1/4deg; 1152 x 768 longitude/latitude; 26 levels; top at ~2 hPa),25 km,none,none,CLM4.5 (SP mode),25 km,none,none,NEMO3.6 (ORCA0.25 1/4 deg from the Equator degrading at the poles; 1442 x 1051 longitude/latitude; 50 vertical levels; top grid cell 0-1 m),25 km,none,none,CICE4.0,25 km,
31,"['C4MIP', 'CMIP', 'LS3MIP', 'LUMIP', 'OMIP', 'ScenarioMIP']",['Published'],['CMCC'],CMCC-ESM2,CMCC-ESM2,2017,CMCC-ESM2,@cmcc.it <- tomas.lovato,2020-02-03: initially published under CC BY-SA 4.0; 2022-06-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM3,100 km,CAM5.3 (1deg; 288 x 192 longitude/latitude; 30 levels; top at ~2 hPa),100 km,none,none,CLM4.5 (BGC mode),100 km,none,none,NEMO3.6 (ORCA1 tripolar primarly 1 deg lat/lon with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 50 vertical levels; top grid cell 0-1 m),100 km,BFM5.2,100 km,CICE4.0,100 km,
